# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

# Language (id,label)
	LANGUAGE=story,Story
	ICON=Icons/story.png
	ORDER=0

# Font (Face, Base Size)
# Use BMFONT to generate the .fnt and image files
	FONT=Renogare,64

# Done loading Meta Data
	BEGIN=true

# Auto-Saving
	AUTOSAVING_TITLE_NS=
		This game features Auto Saving
	AUTOSAVING_DESC_NS=
		Do not turn off the console
		when this icon is displayed
	AUTOSAVING_TITLE_PS4=
		This game features Auto Saving
	AUTOSAVING_DESC_PS4=
		Do not turn off the console
		when this icon is displayed
	AUTOSAVING_TITLE_XB1=
		This game features Auto Saving
	AUTOSAVING_DESC_XB1=
		Do not turn off your console
		when this icon is displayed
	AUTOSAVING_TITLE_PC=
		This game features Auto Saving
	AUTOSAVING_DESC_PC=
		Do not turn off your computer
		when this icon is displayed

# Main Menu
	MENU_DEBUG=		~DEBUG~
	MENU_BEGIN=		CLIMB
	MENU_PICO8=		PICO-8
	MENU_OPTIONS=	Options
	MENU_CREDITS=	Credits
	MENU_EXIT=		Exit

# Options
	OPTIONS_TITLE=			OPTIONS
	OPTIONS_CONTROLS=		CONTROLS
	OPTIONS_RUMBLE_PC=		Rumble
	OPTIONS_RUMBLE_PS4=		Vibration
	OPTIONS_RUMBLE_XB1=		Vibration
	OPTIONS_RUMBLE_NS=		Rumble
	OPTIONS_RUMBLE_ON=		100%
	OPTIONS_RUMBLE_HALF=		50%
	OPTIONS_RUMBLE_OFF=		0%
	OPTIONS_GRAB_MODE=		Grab Mode
	OPTIONS_CROUCH_DASH_MODE=	Crouch Dash Mode
	OPTIONS_BUTTON_PRESS=	Press
	OPTIONS_BUTTON_HOLD=	Hold
	OPTIONS_BUTTON_INVERT=	Invert
	OPTIONS_BUTTON_TOGGLE=	Toggle
	OPTIONS_KEYCONFIG=		Keyboard Config
	OPTIONS_BTNCONFIG=		Controller Config

	OPTIONS_VIDEO=			VIDEO
	OPTIONS_FULLSCREEN=		Fullscreen
	OPTIONS_WINDOW=			Window Scale
	OPTIONS_VSYNC=			Vertical Sync
	OPTIONS_VIEWPORT_NS=	Adjust Screen Size
	OPTIONS_VIEWPORT_PS4=	Adjust Screen Size
	OPTIONS_VIEWPORT_XB1=	Adjust Screen Size
	OPTIONS_VIEWPORT_PC=	Adjust Screen Size
	OPTIONS_DISABLE_FLASH=	Photosensitive Mode
	OPTIONS_DISABLE_SHAKE=	Screen Shake Effects

	OPTIONS_AUDIO=			AUDIO
